customer_text,actual_intent,predicted_intent,top1_similarity,top1_intent,top3_intents,top1_aligned,top3_aligned
I really miss the @115888 messages feature :( being able to send songs to other spotify users without having to go via another social media...,Features & Product Feedback,Features & Product Feedback,0.2369651659181989,Features & Product Feedback,Features & Product Feedback | Other / Unclear | Other / Unclear,True,True
@SpotifyCares check dm pls,Other / Unclear,Other / Unclear,0.39877114411693393,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,True,True
"@SpotifyCares hey there, so i'm playing a playlist and then denzel curry - ultimate comes on and plays, but the song keeps ""playing"" after the song is over. the song was supposed to be over at 3:09 but it's now at 25:15 with no sound or anything and i can't pause or skip. pls hlp",Playback & Streaming,Playback & Streaming,0.15705706529977811,Other / Unclear,Other / Unclear | Other / Unclear | Playback & Streaming,False,True
@3072 your Android SDK API doc reference is not available? https://t.co/jRGfGb8XMg @115888 https://t.co/CgWndZfif5,Other / Unclear,Content Availability,0.22244796674629938,Content Availability,Content Availability | Other / Unclear | Other / Unclear,True,True
@SpotifyCares what happened to the iOS tap and hold to preview a song feature? I loved it for queuing songs to a playlist.,Features & Product Feedback,Features & Product Feedback,0.3105022420567314,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,False
@SpotifyCares @118117 Why does it say “can’t play this right now” and why are playlist songs greyes out (originally imported from iTunes),Playback & Streaming,"Playlist, Library & Sync",0.15558512746032108,Other / Unclear,Other / Unclear | App & Web Player Technical | Content Availability,False,False
@115888 Student discount via bdo card not working,Subscription & Billing,Subscription & Billing,0.38408232890084404,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,False,True
"@116382 Booooourns. @SpotifyCares, could you please help out with this one?",Other / Unclear,Other / Unclear,0.3657632859265955,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,True,True
@117153 @SpotifyCares Im paying for premium but every time i log in it keeps saying free service,Subscription & Billing,Subscription & Billing,0.2621528459530622,Account & Security,Account & Security | Subscription & Billing | Subscription & Billing,False,True
"@SpotifyCares I've dragged so many songs to the same playlists over + over. One of the aims of technology is to make everyday tasks easier, right? =]","Playlist, Library & Sync","Playlist, Library & Sync",0.16577154507788566,"Playlist, Library & Sync","Playlist, Library & Sync | Playlist, Library & Sync | Playlist, Library & Sync",True,True
Today I became a @116130 @115888 tester !!! Thanks for pointing me in the right direction @SpotifyCares !!! https://t.co/yBXDugjS5c,Other / Unclear,Other / Unclear,0.17436571195644668,Playback & Streaming,Playback & Streaming | Other / Unclear | Other / Unclear,False,True
@115888 You are so ungrateful and pathetic,Other / Unclear,Other / Unclear,0.1659027284745671,Other / Unclear,Other / Unclear | Features & Product Feedback | Other / Unclear,True,True
@SpotifyCares issue with my account,Other / Unclear,Other / Unclear,0.5972888424184039,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares OK, I did all those steps, fingers crossed and Thanks!",Other / Unclear,Other / Unclear,0.22951553583315212,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares Spotify version 8.4.29.29 armv7,Android version 6.0.1",Other / Unclear,App & Web Player Technical,0.41372255601240393,App & Web Player Technical,App & Web Player Technical | App & Web Player Technical | App & Web Player Technical,True,True
"@115888 hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑",Features & Product Feedback,"Playlist, Library & Sync",0.18484572840052654,"Playlist, Library & Sync","Playlist, Library & Sync | Playlist, Library & Sync | Other / Unclear",True,True
@SpotifyCares any idea why Spotify premium keeps saying ‘cannot play song’ on multiple tracks and artists?,Playback & Streaming,Subscription & Billing,0.17801529044079556,Content Availability,Content Availability | Other / Unclear | Content Availability,False,False
"@SpotifyCares I just noticed this, you guys are funny. I love it! Haha.",Other / Unclear,Other / Unclear,0.20852778444586545,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,True,True
@SpotifyCares hi I was wondering I recently lost my bank card I was wondering if my payment would still come out of my account,Subscription & Billing,Subscription & Billing,0.2043882562976499,Subscription & Billing,Subscription & Billing | Subscription & Billing | Other / Unclear,True,True
@SpotifyCares Just did !,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares https://t.co/MUE1aQFaeH And country is Germany but a friend mine is in the US and only sees those 2 songs as well in the latest album.,Content Availability,Content Availability,0.1934681994622262,Other / Unclear,"Other / Unclear | Playlist, Library & Sync | App & Web Player Technical",False,False
@SpotifyCares Reset password The CSRF token is invalid. Please try to resubmit the form.Please fix this!!!!!!!!!!!!!!!!!!!,Account & Security,Account & Security,0.6915842587882841,Account & Security,Account & Security | Account & Security | Account & Security,True,True
@SpotifyCares You guys have the best support team!! I'll DM you now :),Other / Unclear,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares hi there, I miss Emma  Chaplin spent last Stelle and vedimaria can you added please?",Content Availability,Other / Unclear,0.19869547848449012,Other / Unclear,Other / Unclear | Subscription & Billing | Other / Unclear,True,True
"@SpotifyCares Yesssssssss man I love you guys.Screw Apple Music, it blows.",Other / Unclear,App & Web Player Technical,0.3250475364552532,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@115888 web player continually cuts out on me and absolutely ruins my flow while at work. 👎,App & Web Player Technical,Playback & Streaming,0.20064088391905777,App & Web Player Technical,App & Web Player Technical | Playback & Streaming | Playback & Streaming,False,True
"@SpotifyCares Tracks constantly skipping, jumping. Doesn't matter whether I'm on 4G, WiFi, whether tracks are downloaded or streamed. About a month now.",Playback & Streaming,"Playlist, Library & Sync",0.17217796548619602,App & Web Player Technical,"App & Web Player Technical | Playlist, Library & Sync | Other / Unclear",False,True
@116888 @SpotifyCares Same exact issue. Sound won’t play more than 50% although i have it on full,Playback & Streaming,Playback & Streaming,0.22583040724076783,Other / Unclear,"Other / Unclear | Playlist, Library & Sync | Other / Unclear",False,False
@SpotifyCares Why have I been charged twice for my subscription this month?,Subscription & Billing,Subscription & Billing,1.0000000000000002,Subscription & Billing,Subscription & Billing | Subscription & Billing | Subscription & Billing,True,True
@115888 having issues with verifying some artist. Pls DM me . Thanks,Other / Unclear,Other / Unclear,0.44647374545511853,Other / Unclear,Other / Unclear | Subscription & Billing | Account & Security,True,True
@SpotifyCares @116130 why do you guys always add britney spears to the Easy 00s playlist and then remove her?,"Playlist, Library & Sync","Playlist, Library & Sync",0.2583472472818471,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@115888  what is this 😂 #StrangerThings https://t.co/1qAPa8ijve,Other / Unclear,Other / Unclear,0.5032984477797973,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@115888 why have you charged me £14.99 on the 18th of November as I upgraded my subscription and @118101 why have you then charged me £9.99 on the 26th of November for a standard premium spotify account. @118101 SORT OUT A REFUND ASAP!!!!,Subscription & Billing,Subscription & Billing,0.1962702341761829,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
2 times in the last week @spotifycares has prompted me to update my password.  The most recent time your system rejects my attempt to update my password for my locked out premium account.  Wtf?,Account & Security,Account & Security,0.1882645776641388,Account & Security,Account & Security | Subscription & Billing | Account & Security,True,True
@SpotifyCares @131098 can you explain why almost all Sinterklaas children's songs on your platform contain racist and/or degrading lyrics? How do I easily find non-offensive songs?,Features & Product Feedback,"Playlist, Library & Sync",0.1591362044190035,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,False,False
Hey @116130 is there any chance of you adding more fabriclive albums?,Features & Product Feedback,Other / Unclear,0.23159902343643365,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares I've been seeing a blank discovery tab on all the devices I've tried this morning. Gone for three hours now.,App & Web Player Technical,Other / Unclear,0.18613160153907943,Other / Unclear,Other / Unclear | Playback & Streaming | Subscription & Billing,True,True
"@SpotifyCares Spotify think I get wrong password, so I try to reset my password with myusername: linalthf, but I forgot what e-mail I used. Can u help me?",Account & Security,Account & Security,1.0000000000000007,Account & Security,Account & Security | Account & Security | Account & Security,True,True
"@SpotifyCares Work laptop(i7 8gb) Windows 10, chrome",Other / Unclear,Other / Unclear,0.30176741034006194,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,True
"@SpotifyCares Hey! So I can't renew my acc because it says that my balance isn't enough, the fact's mine's more than enough :(",Subscription & Billing,Subscription & Billing,0.28544289802338946,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,True,True
@SpotifyCares spotify pls :(,Other / Unclear,Other / Unclear,0.31617935627355975,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,App & Web Player Technical,Account & Security,1.0000000000000002,Account & Security,Account & Security | App & Web Player Technical | App & Web Player Technical,True,True
@SpotifyCares I’ll try it. Thanks!,Other / Unclear,Other / Unclear,0.4659503053404674,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares I've sent you a DM,Other / Unclear,Other / Unclear,0.6672192425129143,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares I have a Samsung S7, Android 7.0 and the latest version of the Spotify app",Other / Unclear,App & Web Player Technical,0.356266726490866,Other / Unclear,Other / Unclear | App & Web Player Technical | App & Web Player Technical,False,True
@SpotifyCares can you please add a feature to only view releases from artist you follow.,Features & Product Feedback,Features & Product Feedback,0.19260720575485998,Features & Product Feedback,Features & Product Feedback | Other / Unclear | Subscription & Billing,True,True
"@115888 I have activated my premium for the first, however I did not get 30days for free, just 7 :( Can you fix it for me please?",Subscription & Billing,Subscription & Billing,0.29644344372494447,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,False,True
@SpotifyCares 😭😭😭😂😂😂😂,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares but it's been requested for years now, what's the point?",Other / Unclear,App & Web Player Technical,0.2779605157789091,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,False,True
@115888 your 'sub low' playlist is essential to getting things done and it hasn't been updated since September pls help,"Playlist, Library & Sync","Playlist, Library & Sync",0.19668982193556347,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,False,False
@SpotifyCares What do you mean by “DM”?,Other / Unclear,Other / Unclear,0.4473573487513565,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares On iphone app in folder wich i create on PC and put inside some playlist i dont have play button like in PC app Tnaks,"Playlist, Library & Sync","Playlist, Library & Sync",0.2150820410084574,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,False,False
@115888 when will astros new albums be added pls and thanks,Content Availability,Other / Unclear,0.22469462235083248,Playback & Streaming,Playback & Streaming | Other / Unclear | Other / Unclear,False,True
is MISS YOU ON SPOTIFY YET,Content Availability,Content Availability,0.3886809835967968,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
"@SpotifyCares Ok, thanks.",Other / Unclear,Other / Unclear,0.5077394383567588,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares my wife invited me to family premium. Where do I input the invite code to accept the invitation?,Subscription & Billing,Subscription & Billing,0.41993567318474767,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
@SpotifyCares I tried that multiple times,Other / Unclear,Other / Unclear,0.3811135441923804,Other / Unclear,Other / Unclear | App & Web Player Technical | Other / Unclear,True,True
"@spotifycares How can I create an account if my email is taken. I've never had an account, but people often use my email address",Account & Security,Account & Security,0.28718569600179894,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@115888 I’ve been trying to change my payment to my Australian card from my UK and an error message saying Spotify isn’t available here keeps showing. Suggestions?? Followed FAQ help online.,Subscription & Billing,Subscription & Billing,0.17092736209632514,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
"@SpotifyCares What I’m asking is, how can I find the other, older versions (e.g. if I didn’t already have them saved). istr there used to be an “x more release(s)” link at the bottom of the track listing page for an album, but in this case I can’t find it. 2/2",Features & Product Feedback,Features & Product Feedback,0.14516528013922111,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,False,False
@115888 I need more skips,Features & Product Feedback,Other / Unclear,0.4441795965314384,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@115888 how do you not have a customer service number 😡,Other / Unclear,Other / Unclear,0.3743197555046802,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Why spotify not allowed in Saudi Arabia?????????? And when it will be allowed?? I waited for long time!!,Other / Unclear,App & Web Player Technical,0.42233376717494026,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Subscription & Billing,True,True
@115888 @SpotifyCares pls let us arrange songs by play count so I know which tracks I don’t listen to anymore and should delete thank u,Features & Product Feedback,Other / Unclear,0.22022074887371867,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"Dear @115888, can't imagine what I listened to that gave you the idea to constantly fill my #DiscoverWeekly with Jam bands. Please stop.",Features & Product Feedback,Other / Unclear,0.20285969783162877,App & Web Player Technical,App & Web Player Technical | Features & Product Feedback | Subscription & Billing,False,False
@115888 can you download music to #Apple watch?,Features & Product Feedback,App & Web Player Technical,0.29131143051987884,App & Web Player Technical,"App & Web Player Technical | Playlist, Library & Sync | App & Web Player Technical",True,True
@115888 please contact me!,Other / Unclear,Other / Unclear,0.4671523593810594,Other / Unclear,Other / Unclear | Subscription & Billing | Other / Unclear,True,True
"@SpotifyCares feature request with more than 3000 votes, fully ignored https://t.co/agQ4FMrpBC",Features & Product Feedback,Features & Product Feedback,0.24281355011649422,Other / Unclear,Other / Unclear | App & Web Player Technical | Features & Product Feedback,False,True
@117153 y'all charged my account 8 times ..... uhhh,Subscription & Billing,Subscription & Billing,0.2144775234741048,Subscription & Billing,Subscription & Billing | Subscription & Billing | Subscription & Billing,True,True
